Date,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,PSH,T2M,CLOUD_AMT,AOD_55,RH2M,WS2M
2024-01-03,15.92,19.33,6.94,9.02,0.38,27.96,47.62,0.64,83.46,2.22
2024-01-04,14.71,19.47,4.6,8.64,0.35,28.18,65.96,0.61,82.49,2.05
2024-01-05,16.87,19.72,10.55,8.19,0.41,27.89,52.12,0.54,84.42,1.91
2024-01-06,18.77,20.26,13.15,8.81,0.45,27.93,15.74,0.47,83.29,1.65
2024-01-07,18.04,20.18,11.29,9.3,0.43,28.0,32.12,0.47,84.24,1.7
2024-01-08,18.47,19.79,12.11,9.61,0.44,28.15,15.46,0.52,84.74,1.73
2024-01-09,18.5,20.08,12.88,8.52,0.44,28.01,27.47,0.52,85.61,2.01
2024-01-10,18.39,20.22,12.78,8.7,0.44,28.07,21.93,0.51,82.56,2.12
2024-01-11,19.3,20.48,14.3,8.54,0.46,28.15,24.12,0.45,81.51,1.7
2024-01-12,18.91,19.96,13.02,9.23,0.45,27.67,10.01,0.57,77.57,1.66
2024-01-13,18.3,18.65,9.4,11.18,0.44,27.78,8.43,0.77,83.62,1.61
2024-01-14,17.09,18.22,7.4,10.79,0.41,28.05,13.27,0.87,82.51,1.52
2024-01-15,17.75,18.79,8.37,10.46,0.43,27.96,25.99,0.78,80.92,1.31
2024-01-16,19.55,19.83,12.56,10.37,0.47,27.16,20.47,0.74,79.82,1.35
2024-01-17,20.34,20.59,14.35,9.95,0.49,27.2,4.25,0.79,78.26,1.61
2024-01-18,20.05,20.68,12.92,9.99,0.48,26.79,8.58,0.74,70.59,1.16
2024-01-19,19.38,19.8,11.35,10.83,0.46,27.31,7.15,0.87,76.74,1.36
2024-01-20,19.32,19.47,11.38,10.01,0.46,27.59,4.43,0.83,77.78,1.39
2024-01-21,21.02,21.97,17.74,7.91,0.5,27.28,10.71,0.56,78.06,1.55
2024-01-22,22.02,22.67,20.11,7.27,0.53,27.24,10.6,0.49,79.92,1.72
2024-01-23,19.9,20.24,13.13,10.38,0.48,27.8,14.78,0.71,79.95,2.22
2024-01-24,17.19,19.51,7.66,9.68,0.41,28.35,47.54,0.8,78.38,1.51
2024-01-25,19.35,19.54,9.97,12.1,0.46,26.36,16.77,1.08,71.53,2.12
2024-01-26,20.78,21.0,11.95,11.39,0.5,26.56,12.08,0.93,62.02,1.53
2024-01-27,19.99,20.07,9.02,12.47,0.48,26.44,10.66,1.14,56.86,1.75
2024-01-28,19.15,19.35,7.1,12.75,0.46,25.8,37.71,1.18,61.26,1.57
2024-01-29,18.11,18.46,6.22,12.47,0.43,26.23,26.81,1.18,70.22,1.4
2024-01-30,17.5,18.26,4.87,11.7,0.42,27.1,41.42,1.15,79.92,1.39
2024-01-31,17.23,17.78,5.74,11.52,0.41,27.61,30.52,1.17,83.61,1.57
2024-02-01,16.23,17.5,4.23,11.04,0.39,27.78,41.91,1.32,85.07,1.82
2024-02-02,14.15,17.07,1.97,9.34,0.34,27.97,41.78,1.49,83.6,1.55
2024-02-03,16.68,17.34,3.18,12.01,0.4,26.61,19.42,1.57,81.62,1.46
2024-02-04,17.51,18.21,4.35,13.44,0.42,26.35,19.29,1.3,76.84,1.72
